Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Peruvian Chicken Soup (Aguadito de Pollo),4.5,Traditional Peruvian Chicken Soup (Aguadito de Pollo) is a light version of the Peruvian Chicken Chowder (Chupe de Pollo).,40 mins,50 mins,1 hr 30 mins,8,"4 skinless, boneless chicken breast halves - cut in half | salt and pepper to taste | ½ cup olive oil | 1 medium onion, chopped | 1 teaspoon minced garlic | 1 tablespoon seeded, minced serrano chile | ½ cup chopped cilantro | 1 cup green peas | 1 cup corn | ½ red bell pepper, chopped | 10 cups chicken broth | 4 Yukon Gold potatoes, cut in half | 1 cup uncooked white rice",https://www.allrecipes.com/thmb/E-tHd0s6Yk-LphJESa1khHIBHYI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1089036-0b9b3a224a794056af91a66d281cec64.jpg,40.0,50.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Season the chicken with salt and pepper. Heat the olive oil in a large, heavy pot over medium-high heat. Stir in the onion, garlic, and serrano chili; cook until the onion has softened, about 1 minute. Add the chicken, and continue to cook for 5 minutes.
- Stir in the cilantro, peas, corn, and red pepper; cook for 1 minute. Pour in the chicken broth, potatoes, and rice. Bring to a boil, then reduce heat to medium-low, and simmer until the chicken is opaque and the potatoes are tender, about 40 minutes."
"One-Bite Thai ""Flavor Bomb"" Salad Wraps (Miang Kham)",5.0,"This is one of the most delicious, most exciting appetizers of all time. I've only had my mind blown a few times, but when I tried miang kham, that was one of those times. A savory, yet sweet sauce pulls together the intense, immense flavors that these salad bombs hold, and they're perfect for serving at parties.",45 mins,5 mins,1 hr,8,"⅓ cup unsweetened shredded dried coconut | 2 tablespoons finely chopped roasted peanuts | 2 tablespoons minced shallot | 1 tablespoon finely minced fresh ginger | 1 small lime, zested and juiced | ½ cup packed dark brown sugar | 2 tablespoons fish sauce | ⅔ cup water | 1 cup cubed cooked chicken | 32 leaves fresh spinach | ½ cup toasted unsweetened coconut flakes | ⅓ cup roasted peanuts | 32 leaves Thai basil | 8 slices lime, quartered | ¼ cup finely chopped Thai chile peppers | ⅓ cup diced shallot | ⅓ cup diced fresh ginger",,45.0,5.0,60.0,10.0,D,Short Wait,Wait time 1-30 min,
Falafel Dough Pizza,4.0,"Falafel is one of the most popular foods in Egypt. It's made out of peeled beans and always served fried. It's also made in the Levant area (mainly Syria and Lebanon) using chickpeas.
In my recipe, I used red lentils and replaced the traditional cooking method (frying) with baking. Using lentils instead of beans to create an innovative recipe has been quite satisfying.",35 mins,20 mins,2 hrs 55 mins,4,"1 cup red lentils | 2 teaspoons oil | 1 onion, quartered | 3 cloves garlic, peeled | ½ bunch fresh parsley | ½ bunch fresh cilantro | ¼ cup chopped green onions | ⅓ cup oil | 1 egg | ½ teaspoon baking powder | ¼ teaspoon ground black pepper | ¼ teaspoon chile powder | ¼ teaspoon ground cumin | ¼ teaspoon ground coriander | salt to taste | 1 cup yogurt | 4 teaspoons lemon juice | 1 tablespoon tahini | salt to taste | ¾ cup shredded Cheddar cheese | 1 tomato, cubed | ¼ cup sliced olives | 1 tablespoon minced fresh parsley | 2 teaspoons minced green onion",https://www.allrecipes.com/thmb/h8fREaGotMsNNvPqWheOIevlajk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4558643-640f3bf660ab447ca1d5d6eefdb36f13.jpg,35.0,20.0,175.0,120.0,E,Long Wait,Wait time > 30 min,"- Place red lentils in a bowl and cover with water. Let soak until softened, about 2 hours. Drain.
- Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper and grease with 2 teaspoons oil.
- Place lentils in a food processor with onion, garlic, 1/2 bunch parsley, cilantro, and 1/4 cup green onions; pulse until finely ground.
- Transfer lentil mixture to a large bowl. Add 1/3 cup oil, egg, baking powder, black pepper, chile powder, cumin, coriander, and salt; mix until well-blended. Spread dough to 1/4-inch thickness onto prepared baking sheet.
- Bake in the preheated oven until golden and firm, about 15 minutes. Remove from oven.
- Combine yogurt, lemon juice, tahini, and salt in a small bowl; mix well until sauce is smooth.
- Layer sauce, Cheddar cheese, tomato, olives, 1 tablespoon parsley, and 2 teaspoons green onion on top of baked dough.
- Return to the oven and bake until cheese is melted, about 5 minutes."
Lemon Blueberry Pie,4.0,"Cool and zesty, a refreshing summertime treat. I make these pies in regular pie shells, not deep dish fruit shells.",,,,16,"1 (14 ounce) can sweetened condensed milk | ¼ cup lemon juice | 1 ½ cups fresh blueberries | 2 egg yolks | 2 (9 inch) pie shells, baked | 8 egg whites | ¼ cup white sugar | ¼ teaspoon cream of tartar",https://www.allrecipes.com/thmb/Wg-C4AATqt05jq-1HgMfsrEvW4w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/432506-bd46b440bb4d42a8bfa55b27274f20c5.jpg,,,,,,,,"- Blend sweetened condensed milk and egg yolks together. Gradually add lemon juice, stirring until mixture thickens and is well blended. Gently fold in blueberries. Pour filling into baked pie shells.
- In another bowl, beat room temperature egg whites with cream of tartar until foamy. Gradually add sugar, and continue beating until egg whites are stiff. Carefully spread meringue over filling, sealing the edges.
- Bake at 400 degrees F (200 degrees C) until meringue browns, about 6 minutes. Cool. Refrigerate uneaten portions."
Fireside Coffee,4.8,"This fireside coffee recipe is a warm and soothing hot drink to have while relaxing with a companion when camping, hiking, or unwinding from the stress of your day. You can use decaf instant coffee if preferred.",5 mins,,5 mins,40,2 cups powdered non-dairy creamer | 1 ½ cups instant coffee granules | 1 ½ cups white sugar | 1 ½ cups instant hot chocolate mix | 1 ½ teaspoons ground cinnamon | ½ teaspoon ground nutmeg,https://www.allrecipes.com/thmb/5p_NobhiUmCGcN7ry74eduJYVHI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1003999-3ed55babd61c46b4a125bb733c91fe14.jpg,5.0,,5.0,0.0,,,,"- Mix ingredients and store in a jar.
- Use 3 tablespoons to 1 cup boiling water when ready to serve."
Indian Shrimp Curry,4.6,This shrimp curry recipe is a subtle yet richly flavored curry that complements prawns perfectly. It tastes wonderful and is a very easy meal to prepare when you are in a hurry. Make sure to remove the shrimp tails before adding them to the skillet. Serve with rice.,15 mins,20 mins,37 mins,4,"2 tablespoons peanut oil | ½ sweet onion, minced | 2 cloves garlic, chopped | 1 ½ teaspoons ground turmeric | 1 teaspoon ground ginger | 1 teaspoon ground cumin | 1 teaspoon paprika | ½ teaspoon red chili powder | 1 (14.5 ounce) can chopped tomatoes | 1 (14 ounce) can coconut milk | 1 teaspoon salt | 1 pound cooked and peeled shrimp | 2 tablespoons chopped fresh cilantro",,15.0,20.0,37.0,2.0,D,Short Wait,Wait time 1-30 min,"- Cook rice as label directs.
- Keep hot.
- Melt butter in skillet. Stir in flour, curry powder, salt, sugar and ginger.
- Gradually stir in milk, stirring until thickened.
- Add shrimp and lemon juice.
- Heat to boil carefully.
- Serve ring of hot rice on heated platter.
- Dice tomatoes.
- Cut avocados into halves, nestle in center of rice.
- Spoon curry mixture on top, then tomatoes."
Easy and Quick Halushki,4.6,"Polish dish combining bacon, fried cabbage and egg noodles.",10 mins,20 mins,30 mins,6,"1 pound bacon | 1 onion, diced | 1 (16 ounce) package egg noodles | 1 head cabbage, sliced | salt and ground black pepper to taste",,10.0,20.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Snip bacon into small pieces with a scissors and cook in a large skillet over medium heat until crisp, stirring often, about 10 minutes. Cook and stir onion with bacon until translucent, about 5 more minutes; set bacon and onion aside, leaving drippings in the skillet.
- Bring a large pot of lightly salted water to a boil. Cook egg noodles in the boiling water, stirring occasionally until cooked through but firm to the bite, about 5 minutes. Drain.
- Transfer bacon and onion mixture with drippings into the pot used to cook the noodles and cook and stir cabbage until coated with drippings. Cover pot and cook until cabbage is tender, 10 to 12 minutes, stirring occasionally. Gently stir in noodles and season to taste with salt and black pepper."
Spaghetti Cacio e Pepe,4.6,"This spaghetti cacio e pepe recipe has been made in our family for many years, and everyone loves it. It is a very basic and easy variation on mac and cheese.",5 mins,15 mins,20 mins,4,"1 pound spaghetti | 6 tablespoons olive oil | 2 cloves garlic, minced | 2 teaspoons ground black pepper | 1 ¾ cups grated Pecorino Romano cheese",,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until tender yet firm to the bite, about 10 minutes. Scoop out some of the cooking water and reserve. Drain spaghetti.
- Heat oil in a large skillet over medium heat. Add garlic and pepper; cook and stir until fragrant, 1 to 2 minutes. Add spaghetti and Pecorino Romano cheese. Ladle in 1/2 cup of reserved cooking water; stir until cheese is melted, about 1 minute. Add more cooking water until sauce coats spaghetti, about 1 minute more."
Cake Mix Birthday Cake Pancakes,5.0,The well known funfetti cake mix gets turned into cake-for-breakfast with some simple swaps of ingredients.,5 mins,15 mins,20 mins,4,"⅓ cup butter, melted and cooled | ⅔ cup milk | 2 large eggs | 1 (15.25 ounce) package cake mix with candy bits (such as Pillsbury® Funfetti®) | ½ cup whipped cream, or to taste (Optional) | 2 teaspoons multicolored candy sprinkles, or to taste (Optional)",https://www.allrecipes.com/thmb/R1hH7wbqo6GttkzgafEQdpaul98=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8537839_Cake-Mix-Birthday-Cake-Pancakes_thedailygourmet_4x3-5c88c3fc646543b480ff51f1aa90f894.jpg,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",
Hibiscus Sangria,4.5,"I'm a big fan of sangrias and was experimenting with edible flowers. The tangy flavor of hibiscus blends very well with the sweet wine and fruit flavors in this drink! I love to eat the fruit in sangria, so the fruit to liquid ratio in this recipe is high. Feel free to reduce the fruit if you'd prefer!",20 mins,5 mins,9 hrs 25 mins,16,"6 cups water | ¾ cup dried hibiscus petals | ½ cup honey | 2 cinnamon sticks | 1 teaspoon ground cardamom | 2 (750 milliliter) bottles rose wine | ¾ cup brandy | ½ cup brown sugar | ½ cup elderflower syrup | ¼ cup triple sec | ½ fresh pineapple - peeled, cored, and cut into chunks | 2 Granny Smith apples, cut into chunks | 1 pint strawberries, cut into chunks | 2 oranges, cut into small chunks | 1 lemon, cut into small chunks",https://www.allrecipes.com/thmb/xSQWBbYBnKEZOeUAv_M2EndUToA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5456503-a836ff237c6143ff9aaa84bae0038207.jpg,20.0,5.0,565.0,540.0,E,Long Wait,Wait time > 30 min,"- Bring water, hibiscus petals, honey, cinnamon sticks, and cardamom to a boil in a large pot. Remove from heat and allow to steep for 1 hour; strain. Stir wine, brandy, brown sugar, elderflower syrup, and triple sec into strained hibiscus water until sugar is dissolved. Add pineapple, apples, strawberries, oranges, and lemon. Refrigerate 8 hours or overnight."
Fluffy Fire House Cinnamon Rolls,5.0,I came up with the recipe cooking at the fire station. It is my take of a recipe that was passed down from older firemen at my station. I love this recipe because the cinnamon rolls are fluffy and rise to be huge!,30 mins,10 mins,2 hrs 25 mins,12,"4 cups bread flour, or more as needed | ⅓ cup white sugar | 1 teaspoon salt | 1 (.25 ounce) package rapid-rise yeast | ⅓ cup unsalted butter, melted | 1 ½ cups hot tap water | 1 large egg | 1 teaspoon oil, or as needed | ½ cup brown sugar, or as needed | ½ cup chopped pecans, or as needed | 2 tablespoons ground cinnamon, or as needed | ½ cup unsalted butter, melted, or as needed | 1 ½ cups confectioners' sugar | ¼ cup unsalted butter, softened | 3 ounces cream cheese, softened | ½ teaspoon vanilla extract | 1 pinch salt, or to taste",https://www.allrecipes.com/thmb/SMtLtKeYuCQ0PnDR0FGKZu14yIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1097971-56388c950f5944749e6f6e704b5b6c70.jpg,30.0,10.0,145.0,105.0,E,Long Wait,Wait time > 30 min,
Orange Juice Tzimmes,4.4,"Stewed carrots and prunes, sweetened with sugar and orange juice.",10 mins,1 hr 5 mins,1 hr 15 mins,6,"8 large carrots | 1 cup prunes | 2 cups orange juice | ⅓ cup white sugar | 4 tablespoons butter, melted | 1 teaspoon grated lemon zest | ½ teaspoon grated fresh ginger root",https://www.allrecipes.com/thmb/m1JGSSNtgrQEkmtAidR1YSb3H-Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9390472-5f63241eb2a64ce2b7a70aafeea99fb0.jpg,10.0,65.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Place carrot and prunes in a pot.
- Cover the vegetables with orange juice.
- Bring the mixture to a boil, let boil 10 minutes.
- Stir in sugar and butter.
- Simmer gently for 1 hour or until the liquid is almost absorbed.
- Sprinkle with lemon zest and ginger and let simmer another 5 minutes."
Sweet Orange Tamales,,"These sweet tamales with orange, almonds, and raisins are eaten as a dessert in Mexico. Try to find extra sweet ripe oranges for the best flavor. [Recipe originally submitted to Allrecipes.com.mx]",30 mins,1 hr 35 mins,2 hrs 50 mins,40,"corn husks | 5 large oranges, peeled and segmented | 2 ½ cups white sugar, divided | 2 cups lard | 2 ice cubes, or as needed | 3 ¼ pounds fresh corn masa dough | 2 tablespoons baking powder | 1 cup milk | 1 cup freshly squeezed orange juice | ⅔ cup raisins | ⅓ cup chopped blanched almonds",https://www.allrecipes.com/thmb/Y2IfAipj3Wvr-WifjUxYnUS31mQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5120481-3ae5f2c0fd3049f993cf05c1301bc3e4.jpg,30.0,95.0,170.0,45.0,E,Long Wait,Wait time > 30 min,"- Place corn husks in a bowl, cover with boiling water, and soak for 30 to 60 minutes. Drain, place on a work surface, and cover with a clean, damp towel.
- Combine oranges and 1 1/4 cups sugar in a saucepan over low heat. Cook, stirring occasionally, until mixture starts to turn into jam, about 30 minutes. Remove from heat and let cool completely.
- While jam is cooling, place lard in a large bowl, add 2 or 3 ice cubes, and beat with an electric mixer until soft and creamy. Beat in 1 1/4 cups sugar until well incorporated.
- Combine masa dough and baking powder in a separate bowl. Knead together for a few minutes. Add masa to lard mixture. Mix in milk alternately with orange juice, beating continuously with the electric mixer. Mix in cooled jam, raisins, and almonds.
- Select 1 wide corn husk or 2 small ones. Spread about 2 tablespoons masa mixture onto the corn husk, filling it up to 2 inches from the bottom and 1/4 inch from the top. Fold sides of husk together, one over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks.
- Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the husk, about 1 hour. Let tamales stand for 15 minutes before serving."
Gingerbread Pizzelle,2.0,"Spicy gingerbread-flavored pizzelle taste like the winter holidays, but can be served any time of year! Ice them if you wish. Store in a tightly-sealed container.",20 mins,2 mins,22 mins,60,4 cups whole wheat flour | 4 teaspoons baking powder | 1 teaspoon ground cinnamon | 1 teaspoon ground ginger | ½ teaspoon ground allspice | ½ teaspoon ground cloves | ¼ teaspoon ground black pepper | 1 cup butter | 1 cup white sugar | ½ cup brown sugar | ¼ cup molasses | 1 teaspoon grated orange zest | 6 medium eggs,https://www.allrecipes.com/thmb/aXJHwIu0gu-Rw6j4cFPPYri_D6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4883488-73fa5c0c993b413087195cfc59d55977.jpg,20.0,2.0,22.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat pizzelle baker according to manufacturer's instructions.
- Mix whole wheat flour, baking powder, cinnamon, ginger, allspice, cloves, and black pepper together in a large bowl.
- Melt butter in a large saucepan over medium heat. Remove from heat. Stir white sugar, brown sugar, molasses, and orange zest into saucepan until well-combined. Add 1/2 of the flour mixture, stirring until smooth. Add eggs; mix until smooth. Stir in remaining flour mixture, mixing until batter is smooth.
- Drop spoonfuls of batter onto the preheated pizzelle baker. Bake until browned, about 1 1/2 minutes."
Pressure Cooker Red Beans and Sausage,4.7,"I am from the South, and red beans and rice is a weekly tradition in my house. This recipe is cooked in no time, thanks to the pressure cooker! Serve over hot cooked rice.",20 mins,30 mins,1 hr 10 mins,8,"1 pound dried red beans, rinsed | 1 (1 pound) package smoked sausage, sliced | 1 bay leaf | 2 tablespoons Cajun seasoning, or to taste | ½ clove garlic, chopped | ½ onion, chopped | 1 stalk celery, chopped | ½ green bell pepper, chopped | 1 teaspoon salt | 1 teaspoon dried parsley | ¼ teaspoon ground cumin | 5 cups cold water, or as needed",https://www.allrecipes.com/thmb/3S3_BYkxgV1EnM8kza4jx_UGN7o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5466286-pressure-cooker-red-beans-and-sausage-Davyea-4x3-1-5570e29fd5bc4feb97e6d34daa3f932e.jpg,20.0,30.0,70.0,20.0,D,Short Wait,Wait time 1-30 min,"- Combine red beans, sausage, bay leaf, Cajun seasoning, garlic, onion, celery, green pepper, salt parsley, and cumin in pressure cooker. Pour in water to cover, according to manufacturer's directions (do not go over line inside of pot). Stir to combine.
- Seal lid and bring pot to full pressure over high heat. Reduce heat to low, maintaining full pressure, and cook for 30 minutes. Allow pressure to drop naturally. Remove lid, stir, and serve."
Personal Shepherd's Pies,4.7,"These individual shepherd's pies are prepared just like regular shepherd's pie but baked in small cake pans, so everyone gets their own.",20 mins,25 mins,50 mins,4,"1 pound ground beef | 1 onion, chopped | 1 (10.5 ounce) can condensed cream of mushroom soup | 1 cup frozen corn | 1 tablespoon ketchup | ¼ teaspoon black pepper | 2 cups prepared instant mashed potatoes | ¾ cup shredded Cheddar cheese (Optional)",,20.0,25.0,50.0,5.0,D,Short Wait,Wait time 1-30 min,"- Cook and stir beef and onion in a skillet over medium-high heat until beef is browned and crumbly, about 5 minutes; drain and discard grease.
- Reduce heat to low. Stir mushroom soup, corn, ketchup, and pepper into beef mixture; cook until heated through, about 2 minutes. Divide beef mixture into four 4-inch round baking pans; spread prepared mashed potatoes over beef mixture.
- Bake in the preheated oven until potatoes are lightly browned, about 15 minutes.
- Set oven rack about 6 inches from the heat source and preheat the oven's broiler.
- Sprinkle Cheddar cheese evenly over pies. Place pies on a baking sheet.
- Broil until cheese is melted, about 2 minutes. Allow to cool for 5 minutes before serving."
German Potato Pancakes,4.7,These German potato pancakes are a nice change from regular pancakes. They make a great dinner meal when served with Bratwurst sausage. I spread mine with cranberry sauce and top with maple syrup.,20 mins,25 mins,45 mins,6,"2 large eggs | 2 tablespoons all-purpose flour | ¼ teaspoon baking powder | ½ teaspoon salt | ¼ teaspoon pepper | 6 medium potatoes, peeled and shredded | ½ cup finely chopped onion | ¼ cup vegetable oil",,20.0,25.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Shred potatoes and squeeze excess water out of them.
- Transfer the potatoes to a large bowl.
- Stir in egg whites.
- Then stir in the flour, onions, salt and pepper."
Best Fried Green Tomatoes,4.8,Serve these crispy fried green tomatoes outside with a glass of iced tea on a warm summer night and enjoy the sunset with someone you love!,5 mins,15 mins,20 mins,4,4 large green tomatoes | 2 large eggs | ½ cup milk | 1 cup all-purpose flour | ½ cup cornmeal | ½ cup bread crumbs | 2 teaspoons coarse kosher salt | ¼ teaspoon ground black pepper | 1 quart vegetable oil for frying,,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Slice tomatoes 1/2 inch thick. Discard the ends.
- Whisk eggs and milk together in a medium-size bowl. Scoop flour onto a plate. Mix cornmeal, bread crumbs and salt and pepper on another plate. Dip tomatoes into flour to coat. Then dip the tomatoes into milk and egg mixture. Dredge in breadcrumbs to completely coat.
- In a large skillet, pour vegetable oil (enough so that there is 1/2 inch of oil in the pan) and heat over a medium heat. Place tomatoes into the frying pan in batches of 4 or 5, depending on the size of your skillet. Do not crowd the tomatoes, they should not touch each other. When the tomatoes are browned, flip and fry them on the other side. Drain them on paper towels."
Pulled Pork Nachos with Sriracha Slaw,5.0,"For this game day, turn to this pulled pork nachos with Sriracha slaw recipe and step up your nacho game. Using leftover pulled pork, you'll have a sheet full of goodness no one will be able to resist. Garnish nachos with pickled jalapeño slices, if desired.",10 mins,10 mins,30 mins,10,"¾ cup water | ¼ cup apple cider vinegar | 2 tablespoons Sriracha sauce | 2 teaspoons white sugar | 1 teaspoon dried oregano | 1 teaspoon salt | 1 (14 ounce) package classic coleslaw mix (such as Dole) | ½ small red onion, thinly sliced | 1 (12 ounce) bag tortilla chips | 3 cups cooked pulled pork | 2 cups shredded Cheddar cheese",https://www.allrecipes.com/thmb/ufNgjWaN-qVKKVzVD7MdbG7ZKpo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6188893-c0d26b42691a4795b8a75b09e5c44392.jpg,10.0,10.0,30.0,10.0,D,Short Wait,Wait time 1-30 min,"- Combine water, vinegar, sriracha, sugar, oregano, and salt in a saucepan and bring to a boil. Turn off heat, stir, and let cool for 10 minutes.
- Combine coleslaw and onion in a large bowl. Pour sriracha mixture on top, stir, and set aside while you prepare nachos.
- Set an oven rack about 6 inches from the heat source and preheat the oven's broiler on low setting, if available.
- Spread tortilla chips on a baking sheet and scatter pulled pork on top. Top with shredded Cheddar cheese.
- Broil nachos in the preheated oven until cheese is melted, about 6 minutes. Top with sriracha slaw."
Eggs on the Grill,4.3,Have you ever tried eggs on the grill by using a muffin pan? Just spray the pan and crack the eggs and put them on the grill. Try adding some chopped peppers and onions or anything to your liking.,2 mins,15 mins,20 mins,6,12 eggs,,2.0,15.0,20.0,3.0,D,Short Wait,Wait time 1-30 min,"- Preheat an outdoor grill for medium high heat.
- Coat all holes of a muffin pan with cooking spray and crack an egg into each hole.
- Place on grill and grill over medium high heat for 2 minutes, or to desired doneness."
Raisin Tea Biscuits,4.6,"Moist, lightly sweet raisin tea biscuits are just perfect for breakfast or a cup of tea in the afternoon. This is as close as I could get to the store bakery version. My husband and kids loved these just as much as the store-bought biscuits. We make a lactose-free version with vanilla soy milk and margarine, but have made the milk variety for others. Recipe works perfectly in both options.",15 mins,15 mins,30 mins,8,"⅔ cup raisins | 1 cup hot water | 3 ¼ cups all-purpose flour | 3 tablespoons white sugar | 1 tablespoon baking powder | ½ teaspoon salt | ¾ cup cold unsalted butter, cut into pieces | 1 cup milk | 1 egg | 1 tablespoon water",https://www.allrecipes.com/thmb/Z7pTbA5ksyFI4CiHLFZKSJB-HPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/434381-b0559cb2e83248bb84d0072eda21f915.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat an oven to 375 degrees F (190 degrees C). Soak raisins in water for 10 minutes; drain and set aside. Line a baking sheet with parchment paper.
- Whisk together the flour, sugar, baking powder, and salt in a mixing bowl. Cut in the butter with a knife or pastry cutter until the mixture resembles coarse crumbs. Stir milk into the flour mixture until moistened. Add the drained raisins. Turn the dough out onto a lightly floured surface and pat or roll the dough out into a 3/4 to 1-inch thick round. Cut dough with a biscuit cutter and place onto the prepared baking sheet. Beat the egg with 1 tablespoon water in a small bowl. Brush egg mixture on each biscuit.
- Bake in the preheated oven until golden brown, about 15 minutes."
Apricot Cream Cheese Thumbprints,4.4,These always look so pretty on the cookie plates I give for Christmas.,30 mins,30 mins,2 hrs,84,"1 ½ cups butter, softened | 1 ½ cups white sugar | 1 (8 ounce) package cream cheese, softened | 2 eggs | 2 tablespoons lemon juice | 1 ½ teaspoons lemon zest | 4 ½ cups all-purpose flour | 1 ½ teaspoons baking powder | 1 cup apricot preserves | ⅓ cup confectioners' sugar for decoration",https://www.allrecipes.com/thmb/ZgQ9XtT6A5lScuNQnz9Ueio6U04=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533042-d25916f6c78847db97837081865961de.jpg,30.0,30.0,120.0,60.0,E,Long Wait,Wait time > 30 min,"- In a large bowl, cream together the butter, sugar, and cream cheese until smooth. Beat in the eggs one at a time, then stir in the lemon juice and lemon zest. Combine the flour and baking powder; stir into the cream cheese mixture until just combined. Cover, and chill until firm, about 1 hour.
- Preheat oven to 350 degrees F (175 degrees C). Roll tablespoonfuls of dough into balls, and place them 2 inches apart on ungreased cookie sheets. Using your finger, make an indention in the center of each ball, and fill with 1/2 teaspoon of apricot preserves.
- Bake for 15 minutes in the preheated oven, or until edges are golden. Allow cookies to cool on the baking sheets for 2 minutes before removing to wire racks to cool completely. Sprinkle with confectioner's sugar."
Mexican Mango and White Fish Ceviche,4.4,"Fresh and delicious, this Mexican mango and white fish ceviche will add a punch to your next party. It's an easy, no-cook, make-ahead starter or nibble. Serve with tortilla chips, avocado, lime wedges, and salt to garnish.",15 mins,,1 hr 55 mins,12,"2 pounds white fish, cut into small cubes | 4 limes, juiced | ½ orange, juiced | 1 tablespoon olive oil | 1 green chile pepper, chopped | 2 mangoes, cut into cubes | 5 green onions, chopped | 3 tomatoes, seeded and chopped | ½ cup chopped fresh cilantro | salt and ground black pepper to taste",,15.0,,115.0,100.0,,,,"- Combine white fish, lime juice, orange juice, oil, and chile pepper in a glass or ceramic bowl. Cover with plastic wrap and refrigerate for 90 minutes.
- Mix in mangoes and green onions, cover, and chill for 10 minutes more.
- Gently fold in tomatoes and cilantro. Season with salt and pepper and serve immediately."
Barbacoa Tacos,5.0,"These barbacoa tacos are packed with smoky shredded beef that's perfectly tender. Spices like cumin complement the chiles, while oregano and bay leaves add an earthiness to this recipe.",45 mins,2 hrs,2 hrs 45 mins,6,"2 ripe plum tomatoes | 1 small white onion, quartered | 2 cloves garlic, peeled | 4 chipotle peppers in adobo sauce | 3 teaspoons kosher salt | 1 ½ teaspoons chili powder | 1 teaspoon ground cumin | ½ teaspoon freshly ground black pepper | 1 (3 pound) beef chuck roast, cut into 6-equal sized cubes | 2 tablespoons olive oil | 1 cup water | 1 tablespoon light brown sugar | 2 teaspoons dried oregano | 3 fresh bay leaves | 1 tablespoon lime juice | corn tortillas, warmed | 2 ripe avocados, peeled, pitted and sliced | ½ bunch radishes, thinly sliced | 2 tablespoons chopped fresh cilantro, or to taste",https://www.allrecipes.com/thmb/eGQdH0fidiTDY3ZAtDd0xlZ5oko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/barbacoa-mfs-beauty-2x3-1-eee36a8f80d44948b18ce6e08654442c.jpg,45.0,120.0,165.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Preheat oven to 325AF.
- In a dutch oven warm oil over high heat.
- Sear the brisket on all sides.
- Put garlic, chilies with sauce, tomatoes, vinegar, and lime juice in a blender.
- Blend until mixture is completely smooth.
- Add chili mixture to the dutch oven and then add enough stock to completely cover beef.
- Bake in the oven for 2 hours or until brisket is extremely tender.
- If needed, add more stock or water occasionally making sure beef is covered.
- Pull the dish from the oven and remove meat.
- Reserve about a quarter of the juices.
- Shred the beef using forks.
- Add beef back to juices and toss to coat.
- Serve on tortilla and top with onions and lettuce."
