Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
"Empanadas de Jamon, Queso, y Huevo Duro (Ham, Cheese, and Hard-boiled Egg Empanadas)",,"These are my easy to-make delicious empanadas when I am in a hurry, and of course, they are my kids' favorite! Gouda, hard-boiled eggs, and ham empanadas are light and full of flavor, a perfect easy midweek Mediterranean dinner.",20 mins,20 mins,45 mins,12,"cooking spray | 2 cups cubed ham | 2 cups cubed Gouda cheese | 3 hard-boiled eggs, chopped | 12 empanada pastry discs | 1 egg, beaten",https://www.allrecipes.com/thmb/BxXAYYjUAgjWswyDmMj-8a-kwyk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5019582-0b9d2a9370084b4f9f2744d5118dd571.jpg,20.0,20.0,45.0,5.0,D,Short Wait,Wait time 1-30 min
Cindy's Awesome Clam Chowder,4.7,"A wonderful clam chowder to serve with hot sourdough bread or, better yet, in a sourdough bread bowl. My whole family adores this clam chowder recipe, and I'm sure yours will too!",15 mins,40 mins,55 mins,6,"½ pound bacon, cut into 1/2 inch pieces | 5 medium unpeeled potatoes, diced | 2 medium carrots, diced | salt and pepper to taste | 2 (6.5 ounce) cans chopped clams, drained with juice reserved | 2 cups water, or as needed | 2 (1.8 ounce) packages dry leek soup mix | 1 quart half-and-half",,15.0,40.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Awesome Red Wine Pot Roast,4.6,"I call this awesome red wine pot roast recipe my ""famous Seamus"" pot roast because my tiny Siamese cat, Seamus, sat in the kitchen the entire time this was cooking. I've been making this recipe for 40+ years, and I just throw the ingredients together; it's very forgiving. My son-in-law also says it's the best thing he ever ate. When boys hang around the kitchen, it can't be bad.",15 mins,4 hrs 15 mins,4 hrs 30 mins,12,"3 pounds boneless beef chuck roast | 2 tablespoons all-purpose flour | 2 tablespoons canola oil | ½ cup water | ½ cup red wine | 1 teaspoon dried basil | 1 teaspoon salt | ½ teaspoon dried marjoram | ½ teaspoon dried thyme | ¼ teaspoon ground black pepper | 1 onion, sliced | 8 pearl onions, peeled and halved | 6 red potatoes, washed and halved | 6 carrots, peeled and cut into 2-inch lengths",https://www.allrecipes.com/thmb/LGCj4sVLYvrgvGS3FjwvM9fsmBs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/597886-awesome-red-wine-pot-roast-TTV78-4x3-1-1c28a1181d8540e4b5ac5ca46135d545.jpg,15.0,255.0,270.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Harvey's Moroccan Roast Chicken,4.5,"Paprika, fresh mint, and lemon make the best rub for this roast chicken. It roasts slowly under the foil and turns out so juicy and flavorful. I throw baby carrots and cut potatoes in the bottom of the pan and it makes a full meal! For a spicier version of this recipe use 'hot' paprika. It seems like a lot of work to get all the spices together--but it's SO worth it. My husband asks for it once a week.",20 mins,2 hrs,2 hrs 30 mins,4,"⅛ teaspoon ground cloves | ¼ teaspoon ground black pepper | ⅜ teaspoon fennel seed, ground | ¾ teaspoon sesame seeds, ground | ⅛ teaspoon ground coriander | ⅛ teaspoon ground cumin | ⅛ teaspoon ground allspice | ¼ teaspoon ground nutmeg | ¾ teaspoon ground ginger | ⅛ teaspoon ground cardamom | 2 tablespoons Hungarian paprika | ¼ cup fresh lemon juice | 1 tablespoon salt | 3 tablespoons chopped fresh mint | 1 teaspoon ground black pepper | 2 cloves garlic, peeled and crushed | 3 tablespoons olive oil | 1 pound small red potatoes, quartered | 2 cups baby carrots | 2 small lemons | 1 (4 pound) roasting chicken, rinsed and patted dry",https://www.allrecipes.com/thmb/0z815_bkiSY7mXG-MkEL-V00VNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/69296-e5f776449ace444a93ceb3a4b74915e4.jpg,20.0,120.0,150.0,10.0,D,Short Wait,Wait time 1-30 min
Three-Cheese Baked Ziti with Italian Sausage,4.5,"This version of baked ziti omits the usual ricotta cheese (or its substitutes) and adds Italian sausage, with very satisfying results!",30 mins,40 mins,1 hr 25 mins,12,"nonstick cooking spray | 1 (8 ounce) package shredded mozzarella cheese | 1 (8 ounce) package shredded Italian cheese blend | 1 (16 ounce) package ziti pasta | 3 tablespoons olive oil, or more to taste | 1 pound bulk Italian sausage | ¼ teaspoon baking soda | 1 cup diced onion | 3 cloves garlic, diced | 5 cups lower-sodium pasta sauce | ⅓ cup sliced black olives | 1 tablespoon whole fennel seeds | 2 teaspoons Italian seasoning | 1 teaspoon anchovy paste | ½ teaspoon ground black pepper | ¼ teaspoon crushed red pepper flakes | 3 tablespoons grated Parmesan cheese",https://www.allrecipes.com/thmb/7nQTeWGX8mT6IZvuCfro_vgHmcc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Three-Cheese-Baked-Ziti-with-Italian-Sausage-lutzflcat-2000-10429727eb48499aa324debd0a367b53.jpeg,30.0,40.0,85.0,15.0,D,Short Wait,Wait time 1-30 min
Aunt Louise's Baked Kibbeh,5.0,This baked kibbeh recipe is a variation of the beef and lamb kibbeh I grew up eating in a very ethnic Lebanese family. My Aunt Louise's kibbeh was the best!,30 mins,45 mins,1 hr 45 mins,8,"1 cup bulgur wheat | 2 cups boiling water | ½ cup finely chopped onion, divided | 2 teaspoons salt, divided | 1 ½ teaspoons dried basil | ½ teaspoon ground black pepper | 1 pound ground beef | 1 pound ground lamb, divided | ½ cup pine nuts | ¼ stick salted butter | ½ cup cherry tomatoes, or to taste | ¼ cup fresh mint leaves, or to taste",https://www.allrecipes.com/thmb/-oamcF-B5uzzRKjI7hSgCFBVduQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7513637-7e3355b0dbf94925b8372c86fe906687.jpg,30.0,45.0,105.0,30.0,D,Short Wait,Wait time 1-30 min
Honey Cake I,4.1,"This is an old German recipe. The cake improves with aging, so bake several days ahead.",,,,24,"4 eggs, separated | ¾ cup white sugar | 1 cup honey | ⅓ cup vegetable oil | 3 cups all-purpose flour | ½ teaspoon salt | 2 teaspoons baking powder | 1 teaspoon baking soda | ½ teaspoon ground cloves | ½ teaspoon ground allspice | 3 teaspoons instant coffee granules | 1 cup hot water",https://www.allrecipes.com/thmb/s5f48GsIC0JkPRHziAvIYw9_kzM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1416515-1416a0b12cb7428099990f6357cf928d.jpg,,,,,,,
Crispy (No-Fry) Potato Pancake Poppers,4.6,"These ""potato fries"" might only be half as tall as Tater Tots, but personally I think they're twice as good! With just a handful of ingredients and no messy stovetop frying, get ready to enjoy these crispy, caramelized potato pancake poppers. Pipe sour cream on top and sprinkle with chives to serve, or arrange on a platter and serve alongside an amazing dip, like a garlicky pesto aioli. They also make for truly fantastic breakfast potatoes to serve with bacon and eggs.",20 mins,40 mins,1 hr 5 mins,6,"3 tablespoons unsalted butter, melted | 2 large russet potatoes, peeled | 1 tablespoon olive oil | 1 ½ teaspoons garlic powder | 1 ½ teaspoons kosher salt | ¼ teaspoon ground black pepper | 1 pinch cayenne pepper, or to taste | 1 tablespoon all-purpose flour | ½ cup finely grated Parmigiano-Reggiano cheese",,20.0,40.0,65.0,5.0,D,Short Wait,Wait time 1-30 min
Waffle Iron Cornbread,4.4,This cornbread waffle recipe is a different spin on cornbread.,10 mins,20 mins,30 mins,4,"1 cup yellow cornmeal | ½ cup all-purpose flour | 1 teaspoon baking powder | ½ teaspoon baking soda | ½ teaspoon salt | ¼ teaspoon ground paprika | 1 ½ cups buttermilk | 3 tablespoons melted butter | 1 egg, slightly beaten",https://www.allrecipes.com/thmb/zbngrUkFn8zvhZjbySaeNwg_h4Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1116562-waffle-iron-cornbread-missrochester-4x3-1-3fb9e107417346abad45f7aa9126a23e.jpg,10.0,20.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Jungle Juice for a Crowd,4.9,Enjoy this jungle fruit-filled punch for a crowd for all occasions.,30 mins,,30 mins,48,"2 (750 milliliter) bottles rum | 1 (750 milliliter) bottle vodka | 1 (750 milliliter) bottle 190-proof grain alcohol (such as Everclear) | 1 gallon cranberry juice | 1 (2 liter) bottle chilled lemon-lime soda | 1 quart grape juice | 4 cups halved fresh strawberries | 12 kiwis, peeled and quartered | 6 oranges, peeled and segmented | 1 large watermelon, cubed and seeded | 1 bunch grapes, separated and rinsed",,30.0,,30.0,0.0,,,
Pumpkin Fluff Dip,4.6,"This pumpkin fluff dip is very creamy and yummy. It's flavored with vanilla and delicious served with graham crackers. I like cinnamon graham crackers the best, but you can decide for yourself.",5 mins,,5 mins,32,"1 (15 ounce) can solid pack pumpkin | 1 (5 ounce) package instant vanilla pudding mix | 1 teaspoon pumpkin pie spice | 1 (16 ounce) container frozen whipped topping, thawed",,5.0,,5.0,0.0,,,
Cheeseburger Sliders,4.5,These cheeseburger sliders are easy to make with a savory beef and onion mixture on Hawaiian dinner rolls with lots of shredded cheese. The sliders are brushed with a sweet mustard butter and baked until golden and gooey for a delicious appetizer.,15 mins,30 mins,45 mins,12,"1 pound ground beef | ½ onion, chopped | 2 tablespoons ketchup | 3 teaspoons Dijon mustard, divided | 3 teaspoons Worcestershire sauce, divided | ½ teaspoon garlic powder | salt and ground black pepper to taste | 1 (12 count) package Hawaiian bread rolls | 1 (8 ounce) package shredded Monterey Jack cheese | ¼ cup butter | 1 tablespoon brown sugar",https://www.allrecipes.com/thmb/MV5DiHzRYT434ex97XS4vU-Ty14=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-277748-cheeseburger-sliders-hero-two-4x3-ed32bfb48e86414dad70467170b2214f.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Coconut Chikki,,"Sweets are a centerpiece of the Punjabi agricultural festival Lohri, and coconut chikki is definitely a favorite. So here's a quick idea for your Lohri feast, and you won't even have to place a few calls to Pakistan to get the recipe.",10 mins,5 mins,45 mins,8,"1 tablespoon ghee | 4 cups grated dried coconut | ¾ cup brown sugar | ¾ cup white sugar | ¼ cup water, or as needed",https://www.allrecipes.com/thmb/vR8Q64zDpI8X1abpe9EArkMFImI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9243363-7aee452d170b4ceabbbe8be6ba28ceec.jpg,10.0,5.0,45.0,30.0,D,Short Wait,Wait time 1-30 min
The Captain's Famous Jambalaya,4.7,"This jambalaya may have been a few places since the bayou, but it's a thick, rich dish that everyone will love! I've experimented with many types of seafood in this recipe, and the flavor and consistency of snapper works the best. Serve with French bread and hot red pepper sauce!",25 mins,1 hr 30 mins,1 hr 55 mins,8,"2 tablespoons unsalted butter | 2 tablespoons all-purpose flour | 2 teaspoons file powder | 3 cloves garlic, peeled and minced | 2 green onions, chopped | 2 large sweet onions, chopped | 1 large green bell pepper, chopped | 3 large tomatoes, peeled and chopped | ½ teaspoon black pepper | ½ teaspoon cayenne pepper | ¼ teaspoon ground allspice | ¼ teaspoon ground cloves | 1 teaspoon salt | 1 bay leaf | 2 cups mushroom broth | 1 ½ cups uncooked brown rice | 1 pound red snapper fillets, cut into 2 inch pieces",https://www.allrecipes.com/thmb/1IeLxt8rqMCY2y2fXg-nO1wPUp4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2528725-b7776b67f0194bb9b33d4e855657dcab.jpg,25.0,90.0,115.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Texas-Style Baked Beans,4.8,"Texas-style baked beans are sure to be a hit at your next outdoor cookout. Even if you don't have a smoker, they'll turn out great, but if you do have access to a good hickory or pecan fire, take advantage. For a real Texas experience, use a bottle of Lone Star beer to make the beans and indulge in one yourself as they're cooking.",25 mins,1 hr,1 hr 25 mins,8,"1 tablespoon butter, or as needed | 2 tablespoons vegetable oil | 1 medium red onion, diced | 2 cloves garlic, minced, or more to taste | 1 pound bacon, diced | 1 medium red bell pepper, diced | 3 medium jalapeno peppers, minced, or to taste | 1 cup beer, or more to taste | 1 cup barbecue sauce | 1 cup brown sugar | ¼ cup molasses | 6 cups cooked pinto beans | 1 pinch garlic salt, or to taste | cracked black pepper to taste",https://www.allrecipes.com/thmb/xz7RBHzaEIR4rCnYcLTKR66Zv1I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1282501-613f301ea76e4ebbbd6d22b9d619273a.jpg,25.0,60.0,85.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Instant Pot Loaded Baked Potato Soup,4.8,"This Instant Pot potato soup is rich and creamy. I like to top it with green onions, Cheddar cheese, and black pepper but it's easy to customize with your favorite toppings.",10 mins,30 mins,1 hr,6,"1 yellow onion, diced | 4 thick slices cherrywood-smoked bacon, cut into 1-inch pieces | 1 tablespoon butter | 2 ½ pounds Yukon Gold potatoes, peeled and chopped | 1 cup water | 1 ½ teaspoons garlic base (such as Better Than Bouillon Roasted Garlic Base) | 1 ½ cups half-and-half | ½ cup shredded Cheddar cheese | ¼ cup sliced green onions | ground black pepper to taste",https://www.allrecipes.com/thmb/GqwlteNMVi-gDCc2q7x3zicYClE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7172976-faa5762a5ba740a4a410212323e0cd83.jpg,10.0,30.0,60.0,20.0,D,Short Wait,Wait time 1-30 min
Dad's Cheesy Bacon Wrapped Meat Loaf,4.7,"This is a recipe my dad has been making for years. Great for the cheese and bacon lover-- it's a huge hit with crowds, even kids! And it's a great comfort food!",20 mins,1 hr 5 mins,1 hr 30 mins,6,"2 pounds ground beef | 2 eggs | 2 tablespoons ketchup | 1 cup dry bread crumbs | 1 tablespoon Parmesan cheese | 1 teaspoon garlic powder | ½ teaspoon kosher salt | ½ teaspoon dried oregano | ½ teaspoon dried basil | ½ teaspoon ground black pepper | 1 small yellow onion, diced | 6 slices bacon | 8 ounces sharp Cheddar cheese, cut into quarters | 1 tablespoon ketchup",https://www.allrecipes.com/thmb/f7f7Jhub1OsqRzMJZjSfC2zYuVc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1558942-dads-cheesy-bacon-wrapped-meat-loaf-Bill-Champion-4x3-1-2e5aa3a38b8d4a0a983ac6bc82787646.jpg,20.0,65.0,90.0,5.0,D,Short Wait,Wait time 1-30 min
Cuban Mini Melts,5.0,Delight your game day guests with these miniature Cuban sandwiches.,15 mins,10 mins,25 mins,10,"10 slices white sandwich bread, quartered | 12 slices honey ham, chopped | 1 ½ cups shredded Swiss cheese | 2 tablespoons spicy brown mustard | 2 tablespoons mayonnaise | 20 dill pickle slices | 20 toothpicks",https://www.allrecipes.com/thmb/AmDnxNsQz4_q0tA3E31T7MLcYMg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5857766-850ebbea85fd4756855a5ae0b61dd432.jpg,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
"Crustless Spinach, Mushroom, and Tomato Quiche (Keto)",4.8,"Skip the crust for a low-carb, keto version of a brunch staple — spinach quiche with cheese, mushrooms, and cherry tomatoes.",15 mins,40 mins,55 mins,8,"cooking spray | 1 tablespoon butter | 1 onion, sliced | ½ cup halved cherry tomatoes | 1 cup sliced mushrooms | 2 cups fresh spinach | 1 cup heavy cream | 3 eggs | ½ teaspoon salt | ¼ teaspoon ground black pepper | ¼ teaspoon ground nutmeg | 1 cup shredded Gouda cheese",https://www.allrecipes.com/thmb/GN2iVpX2LwuA8UgqUABbRuy_YPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7759368-e939acec1dbe402aa28c9e21eb1e42f1.jpg,15.0,40.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Unsloppy Joes,4.2,"Not guaranteed to be a completely unsloppy experience, but these filled kaiser rolls come close.",15 mins,15 mins,30 mins,8,"1 tablespoon olive oil | ½ cup chopped onion | ½ cup chopped celery | ½ cup chopped carrots | ½ cup chopped green bell pepper | 1 clove garlic, minced | 1 (14.5 ounce) can diced tomatoes | 1 ½ tablespoons chili powder | 1 tablespoon tomato paste | 1 tablespoon distilled white vinegar | 1 teaspoon ground black pepper | 1 (15 ounce) can kidney beans, drained and rinsed | 8 kaiser rolls",https://www.allrecipes.com/thmb/gEP0PFC2NZsA9rtCXHB4ppCiO1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3379581-f70749987f8c45c3a3f2d70df767f0c6.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Smoked Chicken Thighs,4.3,Dry-rubbed chicken thighs are smoked in an electric smoker.,10 mins,2 hrs,2 hrs 10 mins,8,"1 teaspoon salt | 1 teaspoon ground black pepper | 1 teaspoon red pepper flakes | 1 teaspoon paprika | 1 teaspoon garlic powder | ½ teaspoon thyme | ½ teaspoon oregano | 8 skinless, boneless chicken thighs | 1 cup cherry wood chips, or as needed",https://www.allrecipes.com/thmb/cymQWg-o8_2H6ta00LE_zwuexDI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5465505-smoked-chicken-thighs-CDIMENNA-4x3-1-c7a1db90b6284133b5ba10bf69732f0c.jpg,10.0,120.0,130.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Moussaka,4.6,This moussaka tastes great! Layers of sliced eggplant are baked in a ground beef sauce and smothered in a creamy white béchamel sauce in this classic Greek dish.,45 mins,1 hr,1 hr 45 mins,8,"3 eggplants, peeled and cut lengthwise into 1/2 inch thick slices | salt to taste | ¼ cup olive oil | 1 tablespoon butter | 1 pound lean ground beef | 2 onions, chopped | 1 clove garlic, minced | ground black pepper to taste | 2 tablespoons dried parsley | ½ teaspoon fines herbs | ¼ teaspoon ground cinnamon | ½ teaspoon ground nutmeg, divided | 1 (8 ounce) can tomato sauce | ½ cup red wine | 1 egg, beaten | 4 cups milk | ½ cup butter | 6 tablespoons all-purpose flour | ground white pepper, to taste | 1 ½ cups freshly grated Parmesan cheese",,45.0,60.0,105.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Amish Hash Browns,4.2,I got this recipe from an Amish woman in my area. These are the best homemade hash browns!,25 mins,15 mins,40 mins,10,"½ cup flour | ⅓ cup yellow cornmeal | 2 teaspoons salt | 1 teaspoon baking powder | 5 cups peeled and shredded potatoes | ⅓ cup vegetable oil | 2 eggs | 1 onion, minced | ¼ cup vegetable oil",https://www.allrecipes.com/thmb/Nthg-gfEAYzaoWlcws9mr0YBv7c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8500725-91e71a0bfa81437c95c3e9433b4a01ca.jpg,25.0,15.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Air Fryer Mustard-Crusted Pork Tenderloin with Potatoes and Green Beans,4.8,Perfectly cooked mustard-crusted pork tenderloin with potatoes and green beans in an air fryer for four.,10 mins,30 mins,40 mins,4,"¼ cup Dijon mustard | 2 tablespoons brown sugar | 1 teaspoon dried parsley flakes | ½ teaspoon dried thyme | ¼ teaspoon salt | ¼ teaspoon ground black pepper | 1 ¼ pounds pork tenderloin | ¾ pound small potatoes (such as The Little Potato® Company), halved | 1 (12 ounce) package fresh green beans, trimmed | 1 tablespoon olive oil | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/YobXqxeKalxzVMNBqjysC13yY68=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7564468-cc53c6643ca94b299b8e967c39ab6763.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Easy Restaurant-Style Buffalo Chicken Wings,4.5,"Super easy, delicious spicy chicken wings are ready in less than an hour! My wife doesn't like the hot sauce, so she heats BBQ sauce in the microwave and uses that.",15 mins,10 mins,25 mins,6,¾ cup all-purpose flour | 1 tablespoon salt | 1 tablespoon ground black pepper | 1 tablespoon garlic powder | 12 skinless chicken wings | 1 quart vegetable oil for frying | ¾ cup hot pepper sauce (such as Frank's RedHot) | 1 tablespoon unsalted butter,https://www.allrecipes.com/thmb/VjNEpJGkHWEP8wvN6MY7tENY3w0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1120353-710ad0ee0afc4cb5a988e577f852aee6.jpg,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Pickled Red Onions,4.9,"Pickled red onions are easy to make and a great tangy topping for tacos, pizzas, salads, and lots more!",5 mins,10 mins,1 hr 45 mins,16,"1 medium red onion, thinly sliced into half-moons | ¾ cup white wine vinegar | 1 teaspoon sea salt | 1 teaspoon white sugar | 5 black peppercorns",https://www.allrecipes.com/thmb/MSXvxJ6cbkLqZSP3PKQkS1hko9M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262197-PickledRedOnions-gw-ddmfs-beuaty-4x3-2964-02af415a711a4dd9a9a67d9a2e7523ec.jpg,5.0,10.0,105.0,90.0,E,Long Wait,Wait time > 30 min
Hippie Juice,5.0,This is a quick summer drink that is easy to make and even easier to drink. Enjoy!,5 mins,,5 mins,7,1 (1.75 liter) bottle raspberry lemonade (such as Simply Lemonade®) | 1 ½ cups watermelon vodka | ½ cup coconut-flavored rum (such as Malibu®) | ½ cup triple sec,https://www.allrecipes.com/thmb/7fL_Xk14FTLIoGUbEJk2_H4fwz8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6995978-d212db364cf94a318dbf9acfd0ac3edb.jpg,5.0,,5.0,0.0,,,
Pear and Sour Cherry Crisp,4.0,This pear and cherry crisp is a delicious mixture of sweet and tart. It's an easy dessert to make for company.,15 mins,1 hr,1 hr 15 mins,8,"2 pounds pears - peeled, cored, and chopped | 1 (16 ounce) can pitted sour cherries, drained | 3 tablespoons cornstarch | ⅔ cup white sugar | ¼ teaspoon almond extract | 1 ½ cups all-purpose flour | ⅓ cup white sugar | ¾ teaspoon salt | ¾ teaspoon ground nutmeg | 9 tablespoons butter",https://www.allrecipes.com/thmb/inHQ3I5BeiDxRI8aK-pR0nr4qbU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1361956-9610e47a5ed7432fb9c9022d9e0662ee.jpg,15.0,60.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Algerian Kefta (Meatballs),4.4,"This simple meatball dish is delicious, rich, and fresh. My Algerian husband taught me it as it's one of his favorites from home. The tomato sauce can be used for anything, and the flavors can be adjusted. I like a lot of garlic and pepper. I have found halal hamburger meat to be much leaner and lighter than regular. You can find it at international food stores and halal butcher shops in bigger cities. Serve this dish with a French baguette.",30 mins,30 mins,1 hr,3,"1 pound lean ground beef | 4 cloves garlic, minced, divided | ¼ cup finely chopped onion, divided | salt and pepper to taste | 3 roma (plum) tomatoes, diced | 1 teaspoon dried parsley | ½ teaspoon ras el hanout (Optional) | ½ cup water",,30.0,30.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Caramel Graham Crackers,4.6,"A simply irresistible treat, these caramel graham crackers are rich, buttery, and perfectly sweet. The secret to their deliciousness lies in using both butter and margarine, creating balanced flavor and texture that makes them truly special.",10 mins,20 mins,30 mins,48,"½ cup unsalted butter | ½ cup margarine | 1 cup brown sugar | 24 graham crackers, broken into rectangles | 1 cup chopped pecans",https://www.allrecipes.com/thmb/UCmH2fSo1BdLiLk6geehnumoyuA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1945585-4575e55dc6da48fbbf8475f930d60fb5.jpg,10.0,20.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Low-Sugar Date Brownies,4.6,"Using dates instead of sugar makes for a very fudgy, chocolatey-tasting brownie with no added sugar. These brownies are slightly cakey; if you prefer a denser brownie, use only one egg instead of two.",10 mins,20 mins,50 mins,16,"1 cup pitted Deglet Noor dates | 1 cup hot water | ½ cup unsalted butter, softened | 2 large eggs | 2 teaspoons vanilla extract | ⅓ cup whole wheat flour | ⅓ cup unsweetened cocoa powder | ½ teaspoon baking soda | ¼ teaspoon salt | ½ cup bittersweet chocolate chips (Optional)",https://www.allrecipes.com/thmb/hMzEyYPNc2NXbnYZC1zmcHYnDn0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5635073-7244e82f0801433887b5e6666f768282.jpg,10.0,20.0,50.0,20.0,D,Short Wait,Wait time 1-30 min
Slow Cooker Cuban Pork,4.5,"This is from an authentic Cuban recipe site, although I couldn't tell you how ""authentic"" it is, considering I have never been to Cuba. Serve with black beans and rice. Authentic or not, this recipe is amazing, especially on the second day on a Cubano sandwich!",30 mins,9 hrs,10 hrs 30 mins,12,"1 cup orange juice (such as Simply) | ½ cup lime juice | ½ cup lemon juice | 14 whole black peppercorns | 1 large onion, finely chopped | 1 (5 pound) boneless pork loin, trimmed and silver skin removed | 1 head garlic, peeled and pressed | 2 tablespoons kosher salt | 1 teaspoon kosher salt | 1 tablespoon dried oregano",https://www.allrecipes.com/thmb/9ZBAKDOyVH3EiYUSg-La6RR7yL8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7989506-4334b785b4ff443d82c499215021cdff.jpg,30.0,540.0,630.0,60.0,E,Long Wait,Wait time > 30 min
Holiday Guacamole,4.6,"I tried this recipe at a friend of the family's. It is such a great twist to traditional guacamole. I wanted others to be able to try this. This not only tastes great but it looks nice as well. Don't be scared off by the ingredients, it is great with unsalted tortilla chips!",20 mins,,20 mins,12,"½ white onion, minced | 4 serrano chile peppers, minced | 1 teaspoon kosher salt | 4 avocados - peeled, pitted and diced | 2 ½ tablespoons fresh lime juice | 1 pear - peeled, cored and diced | 1 cup seedless green grapes, halved | 1 cup pomegranate seeds",https://www.allrecipes.com/thmb/3vKXQVrqGqExxRWScSDBDteQJnk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/156349-c697891c598345c78cd7e5be4d6c2efd.jpg,20.0,,20.0,0.0,,,
Strawberry Cheesecake Bites,4.9,"These mini strawberry cheesecake bites are a cute two-bite dessert. Stuffed with a cream cheese filling, they can be prepared the night before — but not much earlier than that, as the berries may become soggy.",25 mins,5 mins,50 mins,12,"2 tablespoons graham cracker crumbs | 1 (8 ounce) package cream cheese, softened | ½ cup confectioners' sugar | 2 teaspoons vanilla extract | 12 large fresh strawberries | 2 (1 ounce) squares semisweet chocolate (Optional) | 1 teaspoon canola oil (Optional)",,25.0,5.0,50.0,20.0,D,Short Wait,Wait time 1-30 min
Brazilian Lemonade,4.7,This Brazilian lemonade recipe actually uses limes! It is best served immediately.,10 mins,,10 mins,4,2 limes | 3 cups water | ½ cup sugar | 3 tablespoons sweetened condensed milk | ice cubes,,10.0,,10.0,0.0,,,
Twice-Baked Mashed Potatoes,4.8,"These double-baked mashed potatoes are a version of the favorite twice-baked taters everyone loves. Sometimes I add chopped onion and a bit of diced garlic. Great with ribs, chicken, or beef dishes.",15 mins,45 mins,1 hr,10,"6 Yukon Gold potatoes, peeled | ¼ cup butter, softened | ½ cup sour cream | ½ (8 ounce) package cream cheese, softened | 3 cups shredded Cheddar-Monterey Jack cheese blend | 2 tablespoons butter, cut into small pieces | 1 tablespoon bacon bits, or more to taste",https://www.allrecipes.com/thmb/zlP1gJ3hfNZhSdBWRtolyriR3Ik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/235301twice-baked-mashed-potatoeslutzflcat4x3-bac47c0467ab4849a0b9700aa8ebc459.jpg,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
